"Variable","First Stage","Reduced Form"
"Support group (Z)","-1.1848 (0.0026)","0.433 (0.0016)"
"Education: High School","-0.0173 (0.0031)","0.0767 (0.0019)"
"Education: College","-0.0433 (0.004)","0.1533 (0.0024)"
"Education: Masters","-0.0643 (0.0048)","0.2173 (0.0028)"
"Age: 21-25","-0.0175 (0.0029)","-0.0074 (0.0018)"
"Age: 26-30","-0.0458 (0.0051)","-3e-04 (0.0031)"
"Age: 31-40","-0.207 (0.0043)","0.0906 (0.0027)"
"Prenatal visits (high)","-0.0012 (0.0026)","0.2925 (0.0016)"
"N","440,856","440,856"
"R-squared","0.328","0.216"
