"Variable","OLS","Simple IV","CE-TSLS"
"$\beta_1$: smoked $\geq 1$ trimester","-0.600 (0.002)","","-0.569 (0.038)"
"$\beta_2$: smoked $\geq 2$ trimesters","-0.339 (0.002)","","-0.382 (0.043)"
"$\beta_3$: smoked $\geq 3$ trimesters","-0.142 (0.002)","","-0.104 (0.045)"
"Smoked trimesters (level)","","-0.365 (0.001)",""
"Education: High School","0.066 (0.002)","0.070 (0.002)","0.066 (0.002)"
"Education: College","0.127 (0.002)","0.138 (0.002)","0.127 (0.003)"
"Education: Masters","0.178 (0.002)","0.194 (0.003)","0.179 (0.003)"
"Age: 21--25","-0.001 (0.001)","-0.014 (0.002)","-0.001 (0.002)"
"Age: 26--30","0.003 (0.002)","-0.017 (0.003)","0.004 (0.004)"
"Age: 31--40","0.000 (0.002)","0.015 (0.003)","-0.002 (0.003)"
"Prenatal visits (high)","0.292 (0.001)","0.292 (0.002)","0.292 (0.002)"
"Method","OLS","2SLS","CE-TSLS"
"Controls","Yes","Yes","Yes"
"N","440,856","440,856","440,856"
