"Variable","OLS","Simple IV","Simple IV + Controls"
"Smoked trimesters (level)","-0.3635 (6e-04)","-0.3797 (0.0012)","-0.3655 (0.0011)"
"Education: High School","0.0704 (0.0016)","","0.0704 (0.0016)"
"Education: College","0.1376 (0.0019)","","0.1375 (0.0019)"
"Education: Masters","0.194 (0.0022)","","0.1939 (0.0022)"
"Age: 21--25","-0.0138 (0.0014)","","-0.0138 (0.0014)"
"Age: 26--30","-0.017 (0.0025)","","-0.0171 (0.0025)"
"Age: 31--40","0.0154 (0.0023)","","0.015 (0.0023)"
"Prenatal visits (high)","0.2922 (0.0013)","","0.292 (0.0013)"
"Method","OLS","IV","IV"
"Controls","Yes","No","Yes"
"N","440,856","440,856","440,856"
